id,架空氏名,架空氏名読み,架空所属,採用中の実名,実所属,区分,守備位置,投打,身長(cm),体重(kg),Tier,懸念
fiction-2026-002,阿嶺 流斗,あみね りゅうと,八江学院大,塩倉蓮,八戸学院大学,大学生,投手,右右,177,74,,姓の1文字目が一致しないため誤マッチの可能性
fiction-2026-027,今浦 慶輔,いまうら けいすけ,慶陵義塾大,熊ノ郷翔斗,慶応義塾大学,大学生,内野手,右両,180,80,,姓の1文字目が一致しないため誤マッチの可能性
fiction-2026-029,藤杜 一光,ふじもり かずみつ,日元体育大,矢竹開,日本体育大学,大学生,内野手,右左,170,75,,姓の1文字目が一致しないため誤マッチの可能性
fiction-2026-030,酒坂 成真,さかさか せいま,日元体育大,大海然,日本体育大学,大学生,外野手,右右,175,78,,姓の1文字目が一致しないため誤マッチの可能性
fiction-2026-031,種崎 太壱,たねさき たいち,武岳大,野本蒼太,武蔵大学,大学生,外野手,左左,175,70,,姓の1文字目が一致しないため誤マッチの可能性
fiction-2026-172,尋 航次朗,たずね こうじろう,東渚大,石澤順平,東海大学,大学生,投手,右右,182,85,,姓の1文字目が一致しないため誤マッチの可能性
fiction-2026-179,髙浦 新司,たかうら しんじ,東南福祉大,新宅陽貴,東北福祉大学,大学生,内野手,右左,180,83,F,姓の1文字目が一致しないため誤マッチの可能性
fiction-2026-196,日下野 由則,くさかの よしのり,信州グランドホープス,佐々木駿斗,信濃グランセローズ,その他,内野手,右左,173,70,,姓の1文字目が一致しないため誤マッチの可能性
fiction-2026-197,嶋杜 智恵,しまもり ともえ,徳浜ブルーストッキングス,中平颯馬,徳島インディゴソックス,その他,内野手,右右,181,84,,姓の1文字目が一致しないため誤マッチの可能性
fiction-2026-221,西杜 王真,にしもり おうま,東葉電機,北村智紀,東芝硬式野球部,社会人,投手,左左,178,76,,姓の1文字目が一致しないため誤マッチの可能性
fiction-2026-226,本嶺 悠志,もとみね ゆうし,大浜ガス,執行大成,大阪瓦斯株式会社硬式野球部,社会人,投手,左左,175,77,,姓の1文字目が一致しないため誤マッチの可能性
fiction-2026-231,有崎 翔,ありさき しょう,エネリオ,植田響介,ENEOS株式会社硬式野球部,社会人,捕手,右右,181,88,,姓の1文字目が一致しないため誤マッチの可能性
